Date Time,Open,High,Low,Close
Time: 15:40:00.000 Date: 2018-01-02,1.20311,1.20333,1.20311,1.20331
Time: 15:41:00.000 Date: 2018-01-02,1.20332,1.20333,1.20316,1.20319
Time: 15:42:00.000 Date: 2018-01-02,1.20321,1.20324,1.20306,1.20307
Time: 15:43:00.000 Date: 2018-01-02,1.20309,1.20312,1.20302,1.20305
Time: 15:44:00.000 Date: 2018-01-02,1.20306,1.20315,1.20298,1.20314
Time: 15:45:00.000 Date: 2018-01-02,1.20313,1.20339,1.20311,1.20338
Time: 15:46:00.000 Date: 2018-01-02,1.20333,1.20344,1.20324,1.20327
Time: 15:47:00.000 Date: 2018-01-02,1.20328,1.20342,1.20328,1.20334
Time: 15:48:00.000 Date: 2018-01-02,1.20332,1.20355,1.20332,1.20355
Time: 15:49:00.000 Date: 2018-01-02,1.20354,1.20358,1.20332,1.20333
Time: 14:25:00.000 Date: 2018-01-03,1.20293,1.20295,1.20292,1.20295
Time: 14:26:00.000 Date: 2018-01-03,1.20293,1.20295,1.20269,1.2027
Time: 14:27:00.000 Date: 2018-01-03,1.20269,1.2027,1.20264,1.20266
Time: 14:28:00.000 Date: 2018-01-03,1.20267,1.20274,1.20265,1.20269
Time: 14:29:00.000 Date: 2018-01-03,1.2027,1.2027,1.20244,1.20249
Time: 14:30:00.000 Date: 2018-01-03,1.20248,1.2025,1.20246,1.20249
Time: 14:31:00.000 Date: 2018-01-03,1.20253,1.20262,1.2024,1.20246
Time: 14:32:00.000 Date: 2018-01-03,1.20245,1.20245,1.2024,1.20242
Time: 14:33:00.000 Date: 2018-01-03,1.20243,1.20251,1.20238,1.20239
Time: 14:34:00.000 Date: 2018-01-03,1.2024,1.20247,1.20225,1.20246
Time: 14:35:00.000 Date: 2018-01-03,1.20247,1.20262,1.20241,1.20254
Time: 14:36:00.000 Date: 2018-01-03,1.20255,1.20261,1.20252,1.20255
Time: 14:37:00.000 Date: 2018-01-03,1.20254,1.20261,1.20241,1.20244
Time: 14:38:00.000 Date: 2018-01-03,1.20243,1.20244,1.20226,1.20237
Time: 14:39:00.000 Date: 2018-01-03,1.20236,1.20236,1.20221,1.20225
Time: 14:40:00.000 Date: 2018-01-03,1.20226,1.20227,1.20185,1.20194
Time: 14:41:00.000 Date: 2018-01-03,1.20193,1.20204,1.20183,1.20204
Time: 14:42:00.000 Date: 2018-01-03,1.20205,1.2022,1.20203,1.20209
Time: 14:43:00.000 Date: 2018-01-03,1.20211,1.20219,1.20204,1.20204
Time: 14:44:00.000 Date: 2018-01-03,1.20205,1.20208,1.20194,1.20204
Time: 14:45:00.000 Date: 2018-01-03,1.20202,1.20206,1.20195,1.202
Time: 14:46:00.000 Date: 2018-01-03,1.20199,1.202,1.20186,1.20195
Time: 14:47:00.000 Date: 2018-01-03,1.20194,1.20206,1.20187,1.20189
Time: 14:48:00.000 Date: 2018-01-03,1.2019,1.20195,1.20181,1.20185
Time: 14:49:00.000 Date: 2018-01-03,1.20184,1.20205,1.20176,1.20205
Time: 14:50:00.000 Date: 2018-01-03,1.20206,1.20211,1.20194,1.20198
Time: 14:51:00.000 Date: 2018-01-03,1.20199,1.20205,1.20187,1.20202
Time: 14:52:00.000 Date: 2018-01-03,1.20201,1.20203,1.20187,1.20197
Time: 14:53:00.000 Date: 2018-01-03,1.20196,1.20197,1.20173,1.20178
Time: 14:54:00.000 Date: 2018-01-03,1.20179,1.20189,1.20176,1.20185
Time: 14:55:00.000 Date: 2018-01-03,1.20186,1.20198,1.20183,1.20194
Time: 14:56:00.000 Date: 2018-01-03,1.20193,1.20193,1.20177,1.20188
Time: 14:57:00.000 Date: 2018-01-03,1.20185,1.20191,1.20157,1.20162
Time: 14:58:00.000 Date: 2018-01-03,1.20163,1.20165,1.20151,1.20163
Time: 14:59:00.000 Date: 2018-01-03,1.20165,1.2017,1.2014,1.2017
Time: 15:00:00.000 Date: 2018-01-03,1.20178,1.20178,1.20096,1.20114
Time: 15:01:00.000 Date: 2018-01-03,1.20115,1.20126,1.20074,1.20104
Time: 15:02:00.000 Date: 2018-01-03,1.20108,1.20136,1.20099,1.20136
Time: 15:03:00.000 Date: 2018-01-03,1.20135,1.20143,1.20127,1.2013
Time: 15:04:00.000 Date: 2018-01-03,1.20129,1.20129,1.20063,1.20082
Time: 15:05:00.000 Date: 2018-01-03,1.20079,1.20096,1.20064,1.20093
Time: 15:06:00.000 Date: 2018-01-03,1.20094,1.2011,1.20094,1.20099
Time: 15:07:00.000 Date: 2018-01-03,1.20097,1.20097,1.20072,1.20076
Time: 15:08:00.000 Date: 2018-01-03,1.20077,1.20099,1.20073,1.20098
Time: 15:09:00.000 Date: 2018-01-03,1.20097,1.20102,1.20079,1.20079
Time: 15:10:00.000 Date: 2018-01-03,1.20082,1.20088,1.20072,1.20087
Time: 15:11:00.000 Date: 2018-01-03,1.20085,1.20096,1.20057,1.20063
Time: 15:12:00.000 Date: 2018-01-03,1.20065,1.20075,1.20055,1.20075
Time: 15:13:00.000 Date: 2018-01-03,1.20076,1.20105,1.20076,1.20092
Time: 15:14:00.000 Date: 2018-01-03,1.20093,1.20102,1.20086,1.20089
Time: 15:15:00.000 Date: 2018-01-03,1.20088,1.201,1.2008,1.2008
Time: 15:16:00.000 Date: 2018-01-03,1.20077,1.20081,1.20059,1.2007
Time: 15:17:00.000 Date: 2018-01-03,1.20069,1.20085,1.20061,1.20085
Time: 15:18:00.000 Date: 2018-01-03,1.20084,1.20084,1.20076,1.20082
Time: 15:19:00.000 Date: 2018-01-03,1.20083,1.20089,1.20083,1.20088
Time: 15:20:00.000 Date: 2018-01-03,1.20089,1.20098,1.20086,1.20087
Time: 15:21:00.000 Date: 2018-01-03,1.20086,1.20086,1.20073,1.20077
Time: 15:22:00.000 Date: 2018-01-03,1.20076,1.20105,1.20072,1.20095
Time: 15:23:00.000 Date: 2018-01-03,1.20094,1.20096,1.20061,1.20065
Time: 15:24:00.000 Date: 2018-01-03,1.20064,1.20085,1.2005,1.20052
Time: 15:25:00.000 Date: 2018-01-03,1.20051,1.2007,1.20045,1.20063
Time: 15:26:00.000 Date: 2018-01-03,1.20064,1.20069,1.20052,1.20053
Time: 15:27:00.000 Date: 2018-01-03,1.20051,1.20054,1.20035,1.20036
Time: 15:28:00.000 Date: 2018-01-03,1.20039,1.2005,1.20034,1.20048
Time: 15:29:00.000 Date: 2018-01-03,1.20051,1.20055,1.20044,1.20052
Time: 15:30:00.000 Date: 2018-01-03,1.20047,1.20053,1.2004,1.20049
Time: 15:31:00.000 Date: 2018-01-03,1.20048,1.20073,1.20044,1.20072
Time: 15:32:00.000 Date: 2018-01-03,1.20073,1.20076,1.2006,1.2007
Time: 15:33:00.000 Date: 2018-01-03,1.20069,1.20086,1.20061,1.20083
Time: 15:34:00.000 Date: 2018-01-03,1.20082,1.20094,1.2008,1.20094
Time: 15:35:00.000 Date: 2018-01-03,1.20095,1.20121,1.20095,1.20121
Time: 15:36:00.000 Date: 2018-01-03,1.20122,1.20132,1.20113,1.20123
Time: 15:37:00.000 Date: 2018-01-03,1.20122,1.2013,1.20113,1.20119
Time: 15:38:00.000 Date: 2018-01-03,1.20121,1.20128,1.20115,1.20116
Time: 15:39:00.000 Date: 2018-01-03,1.20115,1.20117,1.20108,1.20113
Time: 15:40:00.000 Date: 2018-01-03,1.20114,1.20122,1.20106,1.20118
Time: 15:41:00.000 Date: 2018-01-03,1.20119,1.20123,1.20113,1.20119
Time: 15:42:00.000 Date: 2018-01-03,1.2012,1.20124,1.20102,1.20102
Time: 15:43:00.000 Date: 2018-01-03,1.20101,1.20113,1.20099,1.20113
Time: 15:44:00.000 Date: 2018-01-03,1.20112,1.20127,1.20111,1.20127
Time: 15:45:00.000 Date: 2018-01-03,1.20128,1.20172,1.20127,1.20172
Time: 15:46:00.000 Date: 2018-01-03,1.20173,1.20182,1.20163,1.20176
Time: 15:47:00.000 Date: 2018-01-03,1.20177,1.20191,1.20173,1.2019
Time: 15:48:00.000 Date: 2018-01-03,1.20191,1.202,1.20179,1.20186
Time: 15:49:00.000 Date: 2018-01-03,1.20185,1.20197,1.20178,1.20194
Time: 14:25:00.000 Date: 2018-01-04,1.20619,1.20628,1.20604,1.20607
Time: 14:26:00.000 Date: 2018-01-04,1.20606,1.20618,1.20606,1.20617
Time: 14:27:00.000 Date: 2018-01-04,1.20616,1.20621,1.20601,1.20605
Time: 14:28:00.000 Date: 2018-01-04,1.20606,1.20613,1.20602,1.20613
Time: 14:29:00.000 Date: 2018-01-04,1.20614,1.20629,1.20614,1.20627
Time: 14:30:00.000 Date: 2018-01-04,1.20632,1.20643,1.20624,1.20643
Time: 14:31:00.000 Date: 2018-01-04,1.20641,1.20653,1.2064,1.20653
Time: 14:32:00.000 Date: 2018-01-04,1.20654,1.20654,1.20643,1.20643
Time: 14:33:00.000 Date: 2018-01-04,1.20645,1.20649,1.2063,1.20649
Time: 14:34:00.000 Date: 2018-01-04,1.20652,1.20739,1.20649,1.20737
Time: 14:35:00.000 Date: 2018-01-04,1.20734,1.20737,1.20711,1.20723
Time: 14:36:00.000 Date: 2018-01-04,1.20722,1.20737,1.20704,1.20728
Time: 14:37:00.000 Date: 2018-01-04,1.20723,1.20734,1.20701,1.20703
Time: 14:38:00.000 Date: 2018-01-04,1.20702,1.20774,1.20697,1.20768
Time: 14:39:00.000 Date: 2018-01-04,1.20765,1.20793,1.2076,1.20783
Time: 14:40:00.000 Date: 2018-01-04,1.20784,1.20787,1.20773,1.2078
Time: 14:41:00.000 Date: 2018-01-04,1.20779,1.20785,1.20755,1.20773
Time: 14:42:00.000 Date: 2018-01-04,1.20772,1.20778,1.20763,1.20775
Time: 14:43:00.000 Date: 2018-01-04,1.20783,1.20806,1.20776,1.20803
Time: 14:44:00.000 Date: 2018-01-04,1.208,1.20841,1.20768,1.20822
Time: 14:45:00.000 Date: 2018-01-04,1.20823,1.2083,1.20783,1.20783
Time: 14:46:00.000 Date: 2018-01-04,1.20785,1.20794,1.20774,1.20793
Time: 14:47:00.000 Date: 2018-01-04,1.20794,1.20806,1.20785,1.20803
