Date Time,Open,High,Low,Close
Time: 15:40:00.000 Date: 2018-01-02,0.71057,0.71059,0.71046,0.71052
Time: 15:41:00.000 Date: 2018-01-02,0.71051,0.71053,0.71042,0.71046
Time: 15:42:00.000 Date: 2018-01-02,0.71047,0.71056,0.7104,0.7104
Time: 15:43:00.000 Date: 2018-01-02,0.71041,0.71046,0.7103,0.71036
Time: 15:44:00.000 Date: 2018-01-02,0.71034,0.71034,0.71027,0.71029
Time: 15:45:00.000 Date: 2018-01-02,0.71028,0.71034,0.71026,0.71029
Time: 15:46:00.000 Date: 2018-01-02,0.71028,0.71032,0.71025,0.7103
Time: 15:47:00.000 Date: 2018-01-02,0.71031,0.71039,0.71031,0.71035
Time: 15:48:00.000 Date: 2018-01-02,0.71036,0.71037,0.71029,0.71033
Time: 15:49:00.000 Date: 2018-01-02,0.71032,0.71033,0.7103,0.71031
Time: 14:25:00.000 Date: 2018-01-03,0.71001,0.71005,0.70999,0.71
Time: 14:26:00.000 Date: 2018-01-03,0.70999,0.70999,0.70965,0.70967
Time: 14:27:00.000 Date: 2018-01-03,0.70966,0.70967,0.70964,0.70967
Time: 14:28:00.000 Date: 2018-01-03,0.70966,0.70967,0.70961,0.70966
Time: 14:29:00.000 Date: 2018-01-03,0.70965,0.70967,0.70956,0.70957
Time: 14:30:00.000 Date: 2018-01-03,0.70958,0.70958,0.70945,0.70953
Time: 14:31:00.000 Date: 2018-01-03,0.70952,0.70969,0.70944,0.70967
Time: 14:32:00.000 Date: 2018-01-03,0.70966,0.70967,0.70959,0.70966
Time: 14:33:00.000 Date: 2018-01-03,0.70967,0.70984,0.70966,0.70981
Time: 14:34:00.000 Date: 2018-01-03,0.70982,0.70987,0.70977,0.70987
Time: 14:35:00.000 Date: 2018-01-03,0.70982,0.70992,0.70978,0.70985
Time: 14:36:00.000 Date: 2018-01-03,0.70986,0.70987,0.70981,0.70984
Time: 14:37:00.000 Date: 2018-01-03,0.70985,0.70988,0.70981,0.70982
Time: 14:38:00.000 Date: 2018-01-03,0.70983,0.70983,0.70969,0.70983
Time: 14:39:00.000 Date: 2018-01-03,0.70984,0.70984,0.70956,0.70958
Time: 14:40:00.000 Date: 2018-01-03,0.70956,0.70956,0.70928,0.70935
Time: 14:41:00.000 Date: 2018-01-03,0.70929,0.70931,0.70917,0.70931
Time: 14:42:00.000 Date: 2018-01-03,0.7093,0.70942,0.7093,0.70941
Time: 14:43:00.000 Date: 2018-01-03,0.70942,0.70942,0.70931,0.70931
Time: 14:44:00.000 Date: 2018-01-03,0.7093,0.7094,0.70923,0.70937
Time: 14:45:00.000 Date: 2018-01-03,0.70938,0.70947,0.70926,0.70927
Time: 14:46:00.000 Date: 2018-01-03,0.70923,0.70923,0.70911,0.70914
Time: 14:47:00.000 Date: 2018-01-03,0.70916,0.70916,0.709,0.709
Time: 14:48:00.000 Date: 2018-01-03,0.70901,0.7091,0.70889,0.70897
Time: 14:49:00.000 Date: 2018-01-03,0.70899,0.70931,0.7089,0.70931
Time: 14:50:00.000 Date: 2018-01-03,0.70932,0.7094,0.70918,0.70935
Time: 14:51:00.000 Date: 2018-01-03,0.70934,0.70944,0.70932,0.7094
Time: 14:52:00.000 Date: 2018-01-03,0.70939,0.7094,0.70932,0.70937
Time: 14:53:00.000 Date: 2018-01-03,0.70936,0.70936,0.70921,0.70922
Time: 14:54:00.000 Date: 2018-01-03,0.70923,0.70926,0.70918,0.70923
Time: 14:55:00.000 Date: 2018-01-03,0.70922,0.70941,0.70922,0.70941
Time: 14:56:00.000 Date: 2018-01-03,0.70942,0.70943,0.70921,0.70922
Time: 14:57:00.000 Date: 2018-01-03,0.70923,0.70923,0.70911,0.70921
Time: 14:58:00.000 Date: 2018-01-03,0.70923,0.70931,0.70923,0.70927
Time: 14:59:00.000 Date: 2018-01-03,0.70928,0.70941,0.70923,0.70926
Time: 15:00:00.000 Date: 2018-01-03,0.70881,0.70914,0.7087,0.70912
Time: 15:01:00.000 Date: 2018-01-03,0.70911,0.70916,0.70905,0.70908
Time: 15:02:00.000 Date: 2018-01-03,0.70909,0.70914,0.70889,0.7091
Time: 15:03:00.000 Date: 2018-01-03,0.70911,0.70924,0.7091,0.70924
Time: 15:04:00.000 Date: 2018-01-03,0.70923,0.70925,0.709,0.70909
Time: 15:05:00.000 Date: 2018-01-03,0.70908,0.70924,0.70904,0.70923
Time: 15:06:00.000 Date: 2018-01-03,0.70924,0.70935,0.70922,0.70935
Time: 15:07:00.000 Date: 2018-01-03,0.70937,0.70937,0.70919,0.70923
Time: 15:08:00.000 Date: 2018-01-03,0.70924,0.70929,0.70911,0.70912
Time: 15:09:00.000 Date: 2018-01-03,0.70913,0.70923,0.70912,0.70922
Time: 15:10:00.000 Date: 2018-01-03,0.70923,0.70923,0.70913,0.70916
