Date Time,Open,High,Low,Close
Time: 15:40:00.000 Date: 2018-01-02,12.44583,12.44604,12.44513,12.44543
Time: 15:41:00.000 Date: 2018-01-02,12.44563,12.44563,12.44483,12.44483
Time: 15:42:00.000 Date: 2018-01-02,12.44493,12.44744,12.44483,12.44573
Time: 15:43:00.000 Date: 2018-01-02,12.44563,12.44733,12.44533,12.44603
Time: 15:44:00.000 Date: 2018-01-02,12.44614,12.44634,12.44613,12.44634
Time: 15:45:00.000 Date: 2018-01-02,12.44633,12.45544,12.44633,12.45354
Time: 15:46:00.000 Date: 2018-01-02,12.45374,12.45853,12.45373,12.45804
Time: 15:47:00.000 Date: 2018-01-02,12.45784,12.45784,12.45414,12.45574
Time: 15:48:00.000 Date: 2018-01-02,12.45573,12.46024,12.45493,12.46024
Time: 15:49:00.000 Date: 2018-01-02,12.45939,12.46464,12.45939,12.46464
Time: 14:25:00.000 Date: 2018-01-03,12.35863,12.35914,12.35344,12.35544
Time: 14:26:00.000 Date: 2018-01-03,12.35554,12.35554,12.35024,12.35115
Time: 14:27:00.000 Date: 2018-01-03,12.35114,12.35354,12.34553,12.34591
Time: 14:28:00.000 Date: 2018-01-03,12.34611,12.34884,12.34523,12.34534
Time: 14:29:00.000 Date: 2018-01-03,12.34554,12.34594,12.34524,12.34544
Time: 14:30:00.000 Date: 2018-01-03,12.34543,12.34594,12.34414,12.34414
Time: 14:31:00.000 Date: 2018-01-03,12.34413,12.34434,12.33794,12.33866
Time: 14:32:00.000 Date: 2018-01-03,12.33867,12.34098,12.33714,12.33933
Time: 14:33:00.000 Date: 2018-01-03,12.33945,12.34074,12.33941,12.34053
Time: 14:34:00.000 Date: 2018-01-03,12.34054,12.34323,12.34054,12.34295
Time: 14:35:00.000 Date: 2018-01-03,12.34343,12.34383,12.34214,12.34233
Time: 14:36:00.000 Date: 2018-01-03,12.34234,12.34344,12.34204,12.34344
Time: 14:37:00.000 Date: 2018-01-03,12.34343,12.34344,12.34303,12.34313
Time: 14:38:00.000 Date: 2018-01-03,12.34314,12.34424,12.34294,12.34424
Time: 14:39:00.000 Date: 2018-01-03,12.34419,12.34454,12.34144,12.34154
Time: 14:40:00.000 Date: 2018-01-03,12.34193,12.35034,12.34173,12.35034
Time: 14:41:00.000 Date: 2018-01-03,12.34983,12.35314,12.34865,12.35236
Time: 14:42:00.000 Date: 2018-01-03,12.35222,12.35344,12.35184,12.35185
Time: 14:43:00.000 Date: 2018-01-03,12.35134,12.35166,12.35106,12.35153
Time: 14:44:00.000 Date: 2018-01-03,12.34984,12.35184,12.34753,12.34783
Time: 14:45:00.000 Date: 2018-01-03,12.34533,12.34703,12.34363,12.34493
Time: 14:46:00.000 Date: 2018-01-03,12.34513,12.34615,12.34343,12.34575
Time: 14:47:00.000 Date: 2018-01-03,12.34574,12.34594,12.34423,12.34554
Time: 14:48:00.000 Date: 2018-01-03,12.34553,12.34554,12.34374,12.34544
Time: 14:49:00.000 Date: 2018-01-03,12.34543,12.34672,12.34113,12.34113
Time: 14:50:00.000 Date: 2018-01-03,12.34114,12.34114,12.33684,12.33684
Time: 14:51:00.000 Date: 2018-01-03,12.33724,12.33724,12.32854,12.33322
Time: 14:52:00.000 Date: 2018-01-03,12.33321,12.33344,12.33184,12.33244
Time: 14:53:00.000 Date: 2018-01-03,12.33243,12.33418,12.33154,12.33224
Time: 14:54:00.000 Date: 2018-01-03,12.33223,12.33638,12.32994,12.33344
Time: 14:55:00.000 Date: 2018-01-03,12.33364,12.33709,12.33254,12.33705
Time: 14:56:00.000 Date: 2018-01-03,12.33704,12.33741,12.33651,12.33664
Time: 14:57:00.000 Date: 2018-01-03,12.33702,12.33702,12.33253,12.33304
Time: 14:58:00.000 Date: 2018-01-03,12.33303,12.33324,12.32743,12.33073
Time: 14:59:00.000 Date: 2018-01-03,12.33067,12.35113,12.32874,12.33373
Time: 15:00:00.000 Date: 2018-01-03,12.33383,12.35455,12.33213,12.34614
Time: 15:01:00.000 Date: 2018-01-03,12.34584,12.35726,12.34543,12.34623
Time: 15:02:00.000 Date: 2018-01-03,12.34624,12.35063,12.34584,12.34693
Time: 15:03:00.000 Date: 2018-01-03,12.34694,12.34704,12.34223,12.34623
Time: 15:04:00.000 Date: 2018-01-03,12.34624,12.35073,12.34623,12.34724
Time: 15:05:00.000 Date: 2018-01-03,12.34764,12.34883,12.34553,12.34654
Time: 15:06:00.000 Date: 2018-01-03,12.34653,12.34733,12.34043,12.34724
Time: 15:07:00.000 Date: 2018-01-03,12.34733,12.34733,12.34463,12.34534
Time: 15:08:00.000 Date: 2018-01-03,12.34533,12.34884,12.34533,12.34573
Time: 15:09:00.000 Date: 2018-01-03,12.34543,12.34864,12.34384,12.34734
Time: 15:10:00.000 Date: 2018-01-03,12.34733,12.34874,12.34733,12.34874
Time: 15:11:00.000 Date: 2018-01-03,12.34933,12.35293,12.34873,12.35084
Time: 15:12:00.000 Date: 2018-01-03,12.35083,12.35333,12.35083,12.35254
Time: 15:13:00.000 Date: 2018-01-03,12.35284,12.35394,12.35224,12.35224
Time: 15:14:00.000 Date: 2018-01-03,12.35244,12.35354,12.35244,12.35293
Time: 15:15:00.000 Date: 2018-01-03,12.35313,12.35313,12.35214,12.35303
Time: 15:16:00.000 Date: 2018-01-03,12.35313,12.35973,12.35313,12.35923
Time: 15:17:00.000 Date: 2018-01-03,12.35933,12.35933,12.35833,12.35833
Time: 15:18:00.000 Date: 2018-01-03,12.35834,12.36654,12.35834,12.36624
Time: 15:19:00.000 Date: 2018-01-03,12.36594,12.36594,12.36044,12.36384
Time: 15:20:00.000 Date: 2018-01-03,12.36383,12.36384,12.36114,12.36294
Time: 15:21:00.000 Date: 2018-01-03,12.36304,12.36304,12.36134,12.36164
Time: 15:22:00.000 Date: 2018-01-03,12.36154,12.36333,12.35734,12.36238
Time: 15:23:00.000 Date: 2018-01-03,12.36244,12.36394,12.36244,12.36364
Time: 15:24:00.000 Date: 2018-01-03,12.36363,12.36624,12.36363,12.36624
