Date Time,Open,High,Low,Close
Time: 18:40:00.000 Date: 2018-01-02,0.9722,0.97232,0.97219,0.97232
Time: 18:41:00.000 Date: 2018-01-02,0.97233,0.97234,0.97232,0.97233
Time: 18:42:00.000 Date: 2018-01-02,0.97232,0.97242,0.97232,0.97242
Time: 18:43:00.000 Date: 2018-01-02,0.97241,0.97242,0.9724,0.97241
Time: 18:44:00.000 Date: 2018-01-02,0.97242,0.97247,0.97239,0.9724
Time: 18:45:00.000 Date: 2018-01-02,0.97239,0.9724,0.97237,0.97238
Time: 18:46:00.000 Date: 2018-01-02,0.97239,0.9724,0.97232,0.97233
Time: 18:47:00.000 Date: 2018-01-02,0.97234,0.97234,0.97225,0.97228
Time: 18:49:00.000 Date: 2018-01-02,0.97224,0.97228,0.97223,0.97225
Time: 17:25:00.000 Date: 2018-01-03,0.97605,0.97619,0.97605,0.97619
Time: 17:26:00.000 Date: 2018-01-03,0.97618,0.97618,0.97611,0.97614
Time: 17:27:00.000 Date: 2018-01-03,0.97615,0.97621,0.97615,0.9762
Time: 17:28:00.000 Date: 2018-01-03,0.97619,0.9762,0.97619,0.9762
Time: 17:29:00.000 Date: 2018-01-03,0.97619,0.9762,0.97619,0.9762
Time: 17:30:00.000 Date: 2018-01-03,0.97626,0.9763,0.97626,0.9763
Time: 17:31:00.000 Date: 2018-01-03,0.97629,0.97637,0.97629,0.97635
Time: 17:32:00.000 Date: 2018-01-03,0.97636,0.97636,0.97628,0.97629
Time: 17:33:00.000 Date: 2018-01-03,0.9763,0.9763,0.9763,0.9763
Time: 17:34:00.000 Date: 2018-01-03,0.97629,0.9763,0.97628,0.97628
Time: 17:35:00.000 Date: 2018-01-03,0.97629,0.9763,0.97629,0.9763
Time: 17:36:00.000 Date: 2018-01-03,0.97634,0.97639,0.97634,0.97638
Time: 17:37:00.000 Date: 2018-01-03,0.97639,0.97639,0.97636,0.97638
Time: 17:38:00.000 Date: 2018-01-03,0.97637,0.97638,0.97634,0.97635
Time: 17:39:00.000 Date: 2018-01-03,0.97634,0.97636,0.97634,0.97636
Time: 17:40:00.000 Date: 2018-01-03,0.97644,0.97646,0.97638,0.97638
Time: 17:41:00.000 Date: 2018-01-03,0.97639,0.97639,0.97638,0.97638
Time: 17:42:00.000 Date: 2018-01-03,0.97637,0.97638,0.97637,0.97638
Time: 17:43:00.000 Date: 2018-01-03,0.97637,0.97639,0.97637,0.97639
Time: 17:44:00.000 Date: 2018-01-03,0.97638,0.97639,0.97637,0.97637
Time: 17:45:00.000 Date: 2018-01-03,0.97638,0.97643,0.97637,0.97639
Time: 17:46:00.000 Date: 2018-01-03,0.97638,0.97644,0.97637,0.97637
Time: 17:47:00.000 Date: 2018-01-03,0.97639,0.9764,0.97638,0.97638
Time: 17:48:00.000 Date: 2018-01-03,0.97639,0.9764,0.97638,0.97639
Time: 17:49:00.000 Date: 2018-01-03,0.97645,0.9765,0.97644,0.97649
